Agent,Outcome1,Outcome2,Action,Incentive,Pivotality,Subject,Context,RoundNum
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,2,Football,23
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,2,Business,24
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,2,Football,25
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,2,Business,26
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,2,Football,27
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,2,Business,28
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,2,Football,29
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,2,Football,30
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,2,Business,31
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,2,Football,32
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,3,Football,1
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,3,Business,2
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,3,Football,3
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,3,Football,4
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,3,Business,5
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,3,Business,6
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,3,Football,7
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,3,Football,8
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,3,Business,9
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,3,Business,10
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,3,Football,11
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,3,Football,12
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,3,Business,13
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,3,Business,14
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,3,Business,15
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,3,Football,16
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,3,Business,17
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,3,Football,18
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,3,Football,19
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,3,Football,20
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,3,Business,21
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,3,Business,22
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,3,Business,23
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,3,Football,24
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,3,Football,25
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,3,Football,26
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,3,Business,27
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,3,Business,28
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,3,Business,29
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,3,Football,30
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,3,Business,31
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,3,Football,32
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,4,Business,1
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,4,Business,2
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,4,Football,3
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,4,Business,4
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,4,Business,5
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,4,Business,6
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,4,Football,7
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,4,Football,8
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,4,Football,9
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,4,Business,10
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,4,Football,11
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,4,Football,12
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,4,Business,13
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,4,Football,14
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,4,Business,15
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,4,Football,16
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,4,Business,17
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,4,Football,18
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,4,Football,19
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,4,Business,20
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,4,Football,21
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,4,Business,22
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,4,Business,23
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,4,Business,24
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,4,Football,25
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,4,Football,26
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,4,Business,27
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,4,Business,28
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,4,Football,29
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,4,Business,30
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,4,Football,31
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,4,Football,32
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,5,Football,1
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,5,Business,2
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,5,Business,3
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,5,Business,4
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,5,Business,5
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,5,Business,6
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,5,Football,7
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,5,Business,8
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,5,Business,9
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,5,Football,10
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,5,Business,11
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,5,Football,12
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,5,Football,13
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,5,Football,14
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,5,Football,15
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,5,Football,16
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,5,Business,17
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,5,Football,18
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,5,Business,19
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,5,Football,20
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,5,Business,21
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,5,Football,22
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,5,Football,23
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,5,Business,24
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,5,Business,25
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,5,Football,26
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,5,Football,27
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,5,Business,28
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,5,Business,29
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,5,Football,30
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,5,Business,31
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,5,Football,32
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,6,Football,1
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,6,Business,2
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,6,Business,3
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,6,Business,4
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,6,Business,5
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,6,Football,6
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,6,Football,7
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,6,Football,8
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,6,Business,9
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,6,Football,10
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,6,Football,11
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,6,Football,12
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,6,Business,13
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,6,Football,14
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,6,Football,15
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,6,Business,16
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,6,Football,17
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,6,Business,18
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,6,Football,19
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,6,Business,20
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,6,Football,21
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,6,Business,22
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,6,Football,23
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,6,Football,24
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,6,Business,25
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,6,Business,26
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,6,Business,27
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,6,Football,28
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,6,Business,29
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,6,Football,30
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,6,Business,31
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,6,Business,32
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,7,Business,1
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,7,Business,2
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,7,Football,3
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,7,Business,4
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,7,Football,5
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,7,Football,6
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,7,Business,7
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,7,Football,8
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,7,Business,9
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,7,Business,10
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,7,Football,11
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,7,Business,12
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,7,Football,13
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,7,Football,14
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,7,Business,15
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,7,Business,16
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,7,Football,17
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,7,Football,18
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,7,Football,19
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,7,Business,20
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,7,Football,21
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,7,Business,22
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,7,Business,23
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,7,Football,24
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,7,Football,25
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,7,Football,26
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,7,Business,27
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,7,Football,28
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,7,Football,29
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,7,Business,30
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,7,Business,31
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,7,Business,32
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,8,Football,1
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,8,Football,2
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,8,Business,3
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,8,Football,4
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,8,Football,5
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,8,Business,6
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,8,Business,7
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,8,Business,8
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,8,Football,9
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,8,Business,10
